,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,company
0,Ambassador CLASSIC 1500 DSL AC,2005,120000.0,50000.0,Diesel,Individual,Manual,Second Owner,Ambassador
2,Ambassador Classic 2000 Dsz,2002,51786.64,120000.0,Diesel,Individual,Manual,Fourth & Above Owner,Ambassador
3,Ambassador Grand 1800 ISZ MPFI PW CL,2012,430000.0,50000.0,Petrol,Individual,Manual,Second Owner,Ambassador
4,Audi A4 1.8 TFSI,2012,1200000.0,60000.0,Petrol,Individual,Automatic,Third Owner,Audi
5,Audi A4 2.0 TDI,2011,1295000.0,58000.0,Diesel,Dealer,Automatic,First Owner,Audi
6,Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,1150000.0,53000.0,Diesel,Dealer,Automatic,First Owner,Audi
8,Audi A4 3.0 TDI Quattro,2013,1580000.0,86000.0,Diesel,Dealer,Automatic,First Owner,Audi
20,Audi A4 30 TFSI Technology,2018,2675000.0,22000.0,Petrol,Individual,Automatic,First Owner,Audi
22,Audi A4 35 TDI Premium,2015,2300000.0,35000.0,Diesel,Individual,Automatic,Third Owner,Audi
23,Audi A4 35 TDI Premium Plus,2019,2675000.0,17000.0,Diesel,Dealer,Automatic,First Owner,Audi
24,Audi A4 New  2.0 TDI Multitronic,2014,1549000.0,42215.0,Diesel,Dealer,Automatic,First Owner,Audi
25,Audi A5 Sportback,2020,2675000.0,1744.08,Diesel,Individual,Automatic,First Owner,Audi
26,Audi A6 2.0 TDI  Design Edition,2013,1735000.0,50000.0,Diesel,Dealer,Automatic,First Owner,Audi
27,Audi A6 2.0 TDI  Design Edition,2014,1750000.0,102354.0,Diesel,Dealer,Automatic,First Owner,Audi
29,Audi A6 2.0 TDI Premium Plus,2013,1300000.0,58500.0,Diesel,Dealer,Automatic,First Owner,Audi
40,Audi A6 2.0 TDI Premium Plus,2014,1470000.0,34000.0,Diesel,Dealer,Automatic,Second Owner,Audi
42,Audi A6 2.7 TDI,2010,850000.0,46000.0,Diesel,Individual,Automatic,First Owner,Audi
43,Audi A6 2.8 FSI,2008,650000.0,70000.0,Petrol,Individual,Automatic,Third Owner,Audi
44,Audi A8 4.2 TDI,2013,2675000.0,49000.0,Diesel,Dealer,Automatic,First Owner,Audi
46,Audi A8 L 3.0 TDI quattro,2009,1250000.0,47000.0,Diesel,Dealer,Automatic,Second Owner,Audi
47,Audi Q3 2.0 TDI Quattro Premium Plus,2012,1400000.0,118000.0,Diesel,Individual,Automatic,Second Owner,Audi
48,Audi Q3 2.0 TDI Quattro Premium Plus,2014,1150000.0,110000.0,Diesel,Individual,Automatic,Second Owner,Audi
49,Audi Q3 2.0 TDI Quattro Premium Plus,2015,1750000.0,127643.0,Diesel,Dealer,Automatic,First Owner,Audi
51,Audi Q3 35 TDI Quattro Technology,2017,2575000.0,36000.0,Diesel,Dealer,Automatic,First Owner,Audi
52,Audi Q3 35 TDI Quattro Technology,2018,2675000.0,25000.0,Diesel,Individual,Automatic,First Owner,Audi
53,Audi Q5 2.0 TDI,2011,1190000.0,175900.0,Diesel,Dealer,Automatic,First Owner,Audi
54,Audi Q5 2.0 TDI,2012,1350000.0,90000.0,Diesel,Individual,Automatic,Second Owner,Audi
55,Audi Q5 2.0 TDI,2015,2675000.0,35000.0,Diesel,Individual,Automatic,First Owner,Audi
56,Audi Q5 2.0 TFSI Quattro,2010,1100000.0,110000.0,Petrol,Individual,Automatic,First Owner,Audi
57,Audi Q5 2.0 TFSI Quattro Premium Plus,2014,1850000.0,62237.0,Petrol,Dealer,Automatic,First Owner,Audi
59,Audi Q5 3.0 TDI Quattro Technology,2015,2675000.0,30000.0,Diesel,Dealer,Automatic,First Owner,Audi
60,Audi Q5 3.0 TDI Quattro Technology,2018,2675000.0,22000.0,Diesel,Dealer,Automatic,First Owner,Audi
62,Audi Q7 35 TDI Quattro Premium,2009,1250000.0,78000.0,Diesel,Dealer,Automatic,Third Owner,Audi
63,Audi RS7 2015-2019 Sportback Performance,2016,2675000.0,13000.0,Petrol,Dealer,Automatic,First Owner,Audi
64,BMW 3 Series 320d Luxury Line,2015,2200000.0,24000.0,Diesel,Individual,Automatic,First Owner,BMW
65,BMW 3 Series 320d Luxury Line,2016,2150000.0,43000.0,Diesel,Dealer,Automatic,First Owner,BMW
66,BMW 3 Series 320d Luxury Line,2018,2300000.0,39000.0,Diesel,Individual,Automatic,First Owner,BMW
67,BMW 3 Series 320d Sport,2013,1490000.0,40000.0,Diesel,Dealer,Automatic,First Owner,BMW
68,BMW 3 Series 320d Sport,2013,2000000.0,167223.0,Diesel,Dealer,Automatic,First Owner,BMW
69,BMW 3 Series 320d Sport Line,2013,1550000.0,75800.0,Diesel,Dealer,Automatic,Second Owner,BMW
70,BMW 3 Series GT Luxury Line,2017,2675000.0,30000.0,Diesel,Individual,Automatic,First Owner,BMW
71,BMW 5 Series 520d Luxury Line,2017,2675000.0,40000.0,Diesel,Individual,Automatic,First Owner,BMW
73,BMW 5 Series 520d Luxury Line,2018,2675000.0,9422.0,Diesel,Individual,Automatic,First Owner,BMW
74,BMW 5 Series 520d Luxury Line,2019,2675000.0,12999.0,Diesel,Dealer,Automatic,First Owner,BMW
75,BMW 5 Series 525d Sedan,2009,1200000.0,45000.0,Diesel,Individual,Automatic,Third Owner,BMW
76,BMW 5 Series 530i,2006,480000.0,110000.0,Petrol,Individual,Automatic,Second Owner,BMW
77,BMW 7 Series 730Ld,2006,1050000.0,30000.0,Diesel,Dealer,Automatic,First Owner,BMW
79,BMW 7 Series 730Ld,2011,1700000.0,100000.0,Diesel,Individual,Automatic,Second Owner,BMW
80,BMW 7 Series 730Ld,2012,2500000.0,48000.0,Diesel,Dealer,Automatic,First Owner,BMW
81,BMW 7 Series Signature 730Ld,2014,2675000.0,47000.0,Diesel,Individual,Automatic,First Owner,BMW
82,BMW X1 sDrive 20d Exclusive,2011,1375000.0,60000.0,Diesel,Individual,Automatic,First Owner,BMW
83,BMW X1 sDrive 20d xLine,2017,2400000.0,30000.0,Diesel,Individual,Automatic,First Owner,BMW
84,BMW X1 sDrive 20d xLine,2017,2675000.0,13000.0,Diesel,Individual,Automatic,First Owner,BMW
86,BMW X1 sDrive 20d xLine,2019,2600000.0,9500.0,Diesel,Individual,Automatic,First Owner,BMW
88,BMW X1 sDrive20d,2011,890000.0,86000.0,Diesel,Individual,Automatic,Second Owner,BMW
89,BMW X1 sDrive20d,2012,700000.0,120000.0,Diesel,Individual,Automatic,Second Owner,BMW
90,BMW X1 sDrive20d,2012,750000.0,100000.0,Diesel,Individual,Automatic,Second Owner,BMW
91,BMW X1 sDrive20d M Sport,2014,1485000.0,48000.0,Diesel,Dealer,Automatic,First Owner,BMW
92,BMW X5 xDrive 30d xLine,2019,2675000.0,30000.0,Diesel,Dealer,Automatic,First Owner,BMW
103,Chevrolet Aveo 1.4,2007,85000.0,70000.0,Petrol,Individual,Manual,Second Owner,Chevrolet
104,Chevrolet Aveo 1.4 CNG,2011,229999.0,100000.0,CNG,Individual,Manual,First Owner,Chevrolet
105,Chevrolet Aveo 1.4 LS,2008,170000.0,81324.0,Petrol,Dealer,Manual,First Owner,Chevrolet
106,Chevrolet Aveo 1.4 LS,2010,200000.0,74510.0,Petrol,Dealer,Manual,First Owner,Chevrolet
107,Chevrolet Aveo 1.4 LT BSIV,2009,250000.0,48000.0,Petrol,Individual,Manual,First Owner,Chevrolet
108,Chevrolet Aveo 1.6 LT,2006,150000.0,34600.0,Petrol,Individual,Manual,Third Owner,Chevrolet
109,Chevrolet Aveo 1.6 LT with ABS,2010,140000.0,120000.0,Petrol,Individual,Manual,Second Owner,Chevrolet
110,Chevrolet Aveo U-VA 1.2,2007,80000.0,110000.0,Petrol,Individual,Manual,Second Owner,Chevrolet
111,Chevrolet Aveo U-VA 1.2 LS,2008,160000.0,80000.0,Petrol,Individual,Manual,First Owner,Chevrolet
112,Chevrolet Aveo U-VA 1.2 LS,2009,130000.0,87293.0,Petrol,Dealer,Manual,First Owner,Chevrolet
113,Chevrolet Aveo U-VA 1.2 LS,2009,210000.0,80000.0,Petrol,Individual,Manual,Second Owner,Chevrolet
114,Chevrolet Aveo U-VA 1.2 LS,2010,140000.0,60000.0,Petrol,Individual,Manual,First Owner,Chevrolet
115,Chevrolet Aveo U-VA 1.2 LT,2008,114999.0,70000.0,Petrol,Individual,Manual,Third Owner,Chevrolet
116,Chevrolet Aveo U-VA 1.2 LT WO ABS Airbag,2009,110000.0,38500.0,Petrol,Individual,Manual,Second Owner,Chevrolet
117,Chevrolet Beat Diesel,2012,160000.0,110000.0,Diesel,Individual,Manual,First Owner,Chevrolet
119,Chevrolet Beat Diesel,2012,160000.0,90000.0,Diesel,Individual,Manual,Second Owner,Chevrolet
120,Chevrolet Beat Diesel,2013,165000.0,60000.0,Diesel,Individual,Manual,Second Owner,Chevrolet
121,Chevrolet Beat Diesel LS,2011,95000.0,70000.0,Diesel,Individual,Manual,First Owner,Chevrolet
122,Chevrolet Beat Diesel LS,2011,106000.0,50000.0,Diesel,Individual,Manual,First Owner,Chevrolet
123,Chevrolet Beat Diesel LS,2012,120000.0,110000.0,Diesel,Individual,Manual,First Owner,Chevrolet
125,Chevrolet Beat Diesel LS,2012,160000.0,50000.0,Diesel,Individual,Manual,First Owner,Chevrolet
128,Chevrolet Beat Diesel LS,2012,180000.0,55130.0,Diesel,Dealer,Manual,First Owner,Chevrolet
129,Chevrolet Beat Diesel LS,2012,200000.0,85000.0,Diesel,Individual,Manual,First Owner,Chevrolet
130,Chevrolet Beat Diesel LS,2012,220000.0,100000.0,Diesel,Individual,Manual,Second Owner,Chevrolet
131,Chevrolet Beat Diesel LS,2013,130000.0,93900.0,Diesel,Individual,Manual,Second Owner,Chevrolet
133,Chevrolet Beat Diesel LS,2013,190000.0,70000.0,Diesel,Individual,Manual,First Owner,Chevrolet
134,Chevrolet Beat Diesel LS,2013,195000.0,47253.0,Diesel,Dealer,Manual,First Owner,Chevrolet
135,Chevrolet Beat Diesel LS,2014,305000.0,66000.0,Diesel,Individual,Manual,First Owner,Chevrolet
136,Chevrolet Beat Diesel LS,2014,320000.0,60000.0,Diesel,Individual,Manual,First Owner,Chevrolet
137,Chevrolet Beat Diesel LT,2011,130000.0,80000.0,Diesel,Individual,Manual,Second Owner,Chevrolet
139,Chevrolet Beat Diesel LT,2011,221000.0,56000.0,Diesel,Dealer,Manual,Second Owner,Chevrolet
140,Chevrolet Beat Diesel LT,2012,120000.0,125000.0,Diesel,Individual,Manual,First Owner,Chevrolet
141,Chevrolet Beat Diesel LT,2012,126000.0,98900.0,Diesel,Individual,Manual,Third Owner,Chevrolet
142,Chevrolet Beat Diesel LT,2012,150000.0,60000.0,Diesel,Individual,Manual,First Owner,Chevrolet
144,Chevrolet Beat Diesel LT,2012,200000.0,50000.0,Diesel,Individual,Manual,First Owner,Chevrolet
145,Chevrolet Beat Diesel LT,2012,200000.0,70000.0,Diesel,Individual,Manual,Second Owner,Chevrolet
147,Chevrolet Beat Diesel LT,2012,250000.0,110000.0,Diesel,Individual,Manual,First Owner,Chevrolet
148,Chevrolet Beat Diesel LT,2012,250000.0,40000.0,Diesel,Individual,Manual,First Owner,Chevrolet
149,Chevrolet Beat Diesel LT,2013,173000.0,70000.0,Diesel,Individual,Manual,First Owner,Chevrolet
150,Chevrolet Beat Diesel LT,2013,195000.0,46000.0,Diesel,Individual,Manual,First Owner,Chevrolet
151,Chevrolet Beat Diesel LT,2013,210000.0,80000.0,Diesel,Individual,Manual,Second Owner,Chevrolet
152,Chevrolet Beat Diesel LT,2013,215000.0,20000.0,Diesel,Individual,Manual,Third Owner,Chevrolet
153,Chevrolet Beat Diesel LT,2016,350000.0,35000.0,Diesel,Individual,Manual,Second Owner,Chevrolet
154,Chevrolet Beat Diesel LT Option,2009,195000.0,57000.0,Diesel,Dealer,Manual,Second Owner,Chevrolet
155,Chevrolet Beat Diesel PS,2012,130000.0,58000.0,Diesel,Dealer,Manual,First Owner,Chevrolet
156,Chevrolet Beat Diesel PS,2012,159000.0,68000.0,Diesel,Dealer,Manual,First Owner,Chevrolet
157,Chevrolet Beat LS,2010,99000.0,60000.0,Petrol,Individual,Manual,Second Owner,Chevrolet
158,Chevrolet Beat LS,2011,150000.0,60000.0,Petrol,Individual,Manual,Third Owner,Chevrolet
159,Chevrolet Beat LS,2011,160000.0,60000.0,Petrol,Individual,Manual,First Owner,Chevrolet
160,Chevrolet Beat LS,2011,225000.0,80000.0,Petrol,Individual,Manual,Second Owner,Chevrolet
161,Chevrolet Beat LS,2012,180000.0,50000.0,Petrol,Individual,Manual,First Owner,Chevrolet
162,Chevrolet Beat LS,2016,170000.0,125000.0,Petrol,Individual,Manual,First Owner,Chevrolet
163,Chevrolet Beat LS,2016,250000.0,70000.0,Petrol,Individual,Manual,Third Owner,Chevrolet
164,Chevrolet Beat LT,2010,114999.0,70000.0,Petrol,Individual,Manual,Second Owner,Chevrolet
165,Chevrolet Beat LT,2010,130000.0,80000.0,Petrol,Individual,Manual,Second Owner,Chevrolet
167,Chevrolet Beat LT,2010,135000.0,80000.0,Petrol,Individual,Manual,Second Owner,Chevrolet
168,Chevrolet Beat LT,2011,120000.0,90000.0,Petrol,Individual,Manual,Second Owner,Chevrolet
169,Chevrolet Beat LT,2012,155000.0,12000.0,Petrol,Individual,Manual,First Owner,Chevrolet
170,Chevrolet Beat LT,2012,200999.0,90000.0,Petrol,Individual,Manual,Second Owner,Chevrolet
171,Chevrolet Beat LT,2013,165000.0,50000.0,Petrol,Individual,Manual,First Owner,Chevrolet
172,Chevrolet Beat LT,2013,200000.0,50000.0,Petrol,Individual,Manual,First Owner,Chevrolet
173,Chevrolet Beat LT,2015,245000.0,43000.0,Petrol,Dealer,Manual,First Owner,Chevrolet
174,Chevrolet Beat LT,2016,245000.0,52000.0,Petrol,Dealer,Manual,First Owner,Chevrolet
175,Chevrolet Beat LT,2016,320000.0,40000.0,Petrol,Individual,Manual,First Owner,Chevrolet
176,Chevrolet Beat LT LPG,2011,200000.0,110000.0,LPG,Individual,Manual,First Owner,Chevrolet
177,Chevrolet Beat LT Option,2015,240000.0,60000.0,Petrol,Individual,Manual,First Owner,Chevrolet
178,Chevrolet Beat LT Option,2016,239000.0,41000.0,Petrol,Dealer,Manual,First Owner,Chevrolet
189,Chevrolet Beat PS,2014,170000.0,77000.0,Petrol,Individual,Manual,First Owner,Chevrolet
191,Chevrolet Beat PS,2015,200000.0,50000.0,Petrol,Individual,Manual,First Owner,Chevrolet
192,Chevrolet Beat PS,2016,300000.0,25000.0,Petrol,Individual,Manual,First Owner,Chevrolet
193,Chevrolet Captiva 2.0L VCDi,2011,400000.0,76000.0,Diesel,Individual,Manual,Third Owner,Chevrolet
194,Chevrolet Captiva LT,2008,250000.0,100000.0,Diesel,Individual,Manual,Fourth & Above Owner,Chevrolet
195,Chevrolet Captiva LT,2009,500000.0,130000.0,Diesel,Individual,Manual,First Owner,Chevrolet
196,Chevrolet Cruze LT,2011,350000.0,74000.0,Diesel,Individual,Manual,Second Owner,Chevrolet
